Ward Councillor Physical Meeting Status,,,,,,,,,,,,,,,,
Sr No.,POC,Assembly,Ward No.,,Ward Councillor Physical Meeting Status (2017),,,,,,Ward Councillor Physical Meeting Status (2022),,,,,
,,,,Area Covered,Total Pool(Winner),Winners Physical Meeting Status,Total Pool Runner Ups,Runner Ups Physical Meeting Status,Winner Onboarded,Runner Ups Onboarding Status,Total Pool(Winner),Winners Physical Meeting Status,Total Pool Runner Ups,Runner Ups Physical Meeting Status,Winner Onboarded,Runner Ups Onboarding Status
53,,,71,Chhutkiya Bazar / Nurudinganj,1,1,3,2,0,1,1,0,2,0,0,0
54,,,72,Katra Bazar / Rikab Ganj / Nabab Ganj / Sarifa Ganj,1,0,3,2,0,0,1,0,2,0,0,0
55,,Bankipur - 182,15,,1,0,3,2,0,1,1,1,2,0,1,0
56,,,17,,1,1,3,0,0,0,1,1,2,0,0,0
57,,,18,,1,1,3,0,0,0,1,1,2,0,0,0
58,,,19,,1,1,3,0,0,0,1,0,2,0,0,0
59,,,22,,1,1,3,0,0,0,1,0,2,0,0,0
60,,,23,,1,1,3,0,0,0,1,1,2,0,0,0
61,,,24,,1,1,3,0,0,0,1,1,1,0,0,0
62,,,25,,1,1,3,0,0,0,1,1,2,0,0,0
63,,,26,,1,1,3,0,0,0,1,1,1,0,0,0
64,,,27,,1,1,3,0,0,0,1,1,2,0,0,0
65,,,28,,1,1,2,0,0,0,1,1,1,0,0,0
66,,,29,,1,1,3,0,0,0,1,1,2,0,0,0
67,,,30,,1,1,3,0,0,0,1,1,2,0,0,0
68,,,35,,1,1,3,0,0,0,1,1,2,0,0,0
69,,,36,,1,1,3,0,0,0,1,0,2,0,0,0
70,,,37,,1,1,3,0,0,0,1,1,1,0,0,0
71,,,38,,1,1,3,0,0,0,1,1,2,0,0,0
72,,,39,,1,1,3,0,0,0,1,1,2,0,0,0
73,,,40,,1,1,3,0,0,0,1,1,1,0,0,0
74,,,41,,1,1,3,0,0,0,1,0,2,0,0,0
75,,,42,,1,1,3,0,0,0,1,0,2,0,0,0
